지역이름,평균기온,최고기온,최저기온,평균습도,평균풍속,연강수량
서울,12.5,17,8.6,64.4,2.3,1450.5
수원,12,17.2,7.5,69.6,1.7,1312.3
이천,11.6,17.8,6.2,66.7,1.3,1370.8
양평,11.5,17.7,6.3,70.5,1.2,1438.2
인천,12.1,16.4,8.7,68.6,2.9,1234.4
강화,11.1,16.2,6.3,70.2,1.7,1346.7
동두천,11.2,17.5,6,66.5,1.6,1502.9
백령도,11.2,14.5,8.6,69.9,4.9,825.6
강릉,13.1,17.5,9.2,61.4,2.6,1464.5
춘천,11.1,17.2,5.9,71,1.3,1347.3
원주,11.3,17.4,6,69.3,1.1,1343.6
속초,12.2,16.2,8.5,65.7,2.8,1402.2
철원,10.2,16.2,4.7,70.4,1.8,1391.2
대관령,6.6,11.5,2,73.3,4.3,1898
대전,13,18.4,8.3,66.7,1.9,1458.7
부여,12.2,18.6,6.9,73.3,1.2,1349.2
금산,11.6,18.2,5.9,71.2,1.1,1296.8
천안,11.8,17.7,6.5,71.7,1.6,1226.5
서산,11.9,17.3,7.2,74.1,2.4,1285.7
보령,12.4,17.5,7.9,73.3,1.9,1244.3
청주,12.5,18.2,7.6,67.7,1.8,1239.1
보은,10.9,17.4,5.2,70.3,1.3,1297.4
충주,11.2,17.7,5.9,71.9,1.2,1212.7
제천,10.2,16.8,4.4,69.8,1.4,1387.8
추풍령,11.7,17.3,6.7,67.6,2.7,1187.1
광주,13.8,19.1,9.5,69.5,2.1,1391
목포,13.9,18.6,10.3,72.4,3.9,1163.6
여수,14.3,18,11.3,66.4,4.1,1439
완도,14.1,18.1,10.8,72.5,3.6,1532.7
흑산도,13.3,16.2,11.2,77.4,5.6,1107.3
순천,12.6,19.4,7.3,71.1,1.2,1531.3
장흥,13,19,7.8,72.2,1.8,1505.6
해남,13.4,18.8,8.5,73.4,2.2,1325.4
고흥,13.6,19.3,8.4,69.7,1.5,1453.4
전주,13.3,18.9,8.6,69.4,1.6,1313.1
군산,12.8,17.1,9.2,74.9,3.8,1202
정읍,13.1,18.8,8.2,71.6,1.1,1317.3
남원,12.3,19.2,6.4,71.7,1.3,1380.4
임실,11.2,18,5.5,73.3,1.3,1351.9
장수,10.5,17,4.9,73.9,1.7,1464.3
부안,12.6,18,8,76,1.6,1250.4
부산,14.7,18.9,11.3,64.7,3.7,1519.1
울산,14.1,19.2,9.8,64.2,2.1,1277.1
창원,14.9,19.4,11.1,63.8,2.2,1545.4
통영,14.7,19.2,11,67.2,2.6,1450.8
진주,13.1,19.5,7.6,70.9,1.8,1512.8
밀양,13.3,19.9,7.5,67.7,1.4,1229.4
거창,11.7,18.7,5.8,69.5,1.2,1316.8
산청,12.8,19.3,7.6,66.6,1.5,1556.6
합천,13,19.8,7.3,67.6,1.2,1275.6
거제,14.2,18.9,9.9,63.7,1.7,2007.3
남해,14.1,19.3,9.8,66.4,1.7,1839.4
울진,12.6,17.2,8.5,67.8,3.8,1119
안동,11.9,18,6.6,67.9,1.7,1066.4
포항,14.2,18.7,10.4,63.5,2.8,1152
대구,14.1,19.5,9.5,61.6,2.7,1064.4
봉화,9.9,17.2,3.6,69.3,1.2,1217.9
영주,11.3,17.4,5.7,66.6,2.2,1290.9
문경,11.8,17.6,6.6,64.9,1.6,1259.8
의성,11.2,18.8,4.8,68.6,1.1,1031.7
구미,12.5,18.7,7.1,65.8,1.6,1072.5
영덕,12.8,18,8.1,65.7,2.4,1072.7
영천,12.4,18.8,6.7,65.1,1.8,1046.8
울릉도,12.4,15.8,9.8,74.3,3.7,1383.4
제주,15.5,18.7,12.4,73.3,3.8,1456.9
고산,15.5,18.2,13.1,76.5,6.9,1094.7
서귀포,16.2,19.8,13,70.7,3.1,1850.8
성산,15.2,19,11.3,75.3,3.1,1840.9
